,Iteration,Estimation,Exact
0,5,3.8453132836561807,1.356529588918713
1,10,3.505232693870215,1.356529588918713
2,15,3.221463674588735,1.356529588918713
3,20,2.958732653978794,1.356529588918713
4,25,2.694701496098745,1.356529588918713
5,30,2.460893101257522,1.356529588918713
6,35,2.277302341856238,1.356529588918713
7,40,2.1813595860870976,1.356529588918713
8,45,2.10813166610139,1.356529588918713
9,50,2.0799132309896318,1.356529588918713
10,55,2.0614501544785035,1.356529588918713
11,60,2.0597593516164037,1.356529588918713
12,65,2.0597593516164037,1.356529588918713
13,70,2.053239339710107,1.356529588918713
14,75,2.049931854254748,1.356529588918713
15,80,2.0431802929416376,1.356529588918713
16,85,2.040432319083919,1.356529588918713
17,90,2.0359433675416962,1.356529588918713
18,95,2.0336405350730606,1.356529588918713
19,100,2.0305836440196607,1.356529588918713
20,105,1.935646798421538,1.356529588918713
21,110,1.7948650051841515,1.356529588918713
22,115,1.693277835342223,1.356529588918713
23,120,1.643176128859415,1.356529588918713
24,125,1.588871636637693,1.356529588918713
25,130,1.543652159310331,1.356529588918713
26,135,1.5416121121917374,1.356529588918713
27,140,1.5332950342932223,1.356529588918713
28,145,1.50368711346131,1.356529588918713
29,150,1.4833630551388213,1.356529588918713
30,155,1.4667626211391802,1.356529588918713
31,160,1.451689521776709,1.356529588918713
32,165,1.4512392559839276,1.356529588918713
33,170,1.4512392559839276,1.356529588918713
34,175,1.4512392559839276,1.356529588918713
35,180,1.43908439841882,1.356529588918713
36,185,1.4333699720826392,1.356529588918713
37,190,1.41852796784978,1.356529588918713
38,195,1.41852796784978,1.356529588918713
39,200,1.41852796784978,1.356529588918713
40,205,1.41852796784978,1.356529588918713
41,210,1.41852796784978,1.356529588918713
42,215,1.41852796784978,1.356529588918713
43,220,1.41852796784978,1.356529588918713
44,225,1.413490650950476,1.356529588918713
45,230,1.409872971807844,1.356529588918713
46,235,1.409872971807844,1.356529588918713
47,240,1.409872971807844,1.356529588918713
48,245,1.409872971807844,1.356529588918713
49,250,1.409872971807844,1.356529588918713
50,255,1.409872971807844,1.356529588918713
51,260,1.409872971807844,1.356529588918713
52,265,1.4042448422900247,1.356529588918713
53,270,1.4013299419034393,1.356529588918713
54,275,1.4013299419034393,1.356529588918713
55,280,1.4013299419034393,1.356529588918713
56,285,1.4013299419034393,1.356529588918713
57,290,1.4013299419034393,1.356529588918713
58,295,1.4013299419034393,1.356529588918713
59,300,1.397451244910485,1.356529588918713
60,305,1.397451244910485,1.356529588918713
61,310,1.397451244910485,1.356529588918713
62,315,1.397451244910485,1.356529588918713
63,320,1.3970470033941167,1.356529588918713
64,325,1.3970470033941167,1.356529588918713
65,330,1.3970470033941167,1.356529588918713
66,335,1.3970470033941167,1.356529588918713
67,340,1.3915166846684244,1.356529588918713
68,345,1.3915166846684244,1.356529588918713
69,350,1.3915166846684244,1.356529588918713
70,355,1.3887419737653683,1.356529588918713
71,360,1.3887419737653683,1.356529588918713
72,365,1.3887419737653683,1.356529588918713
73,370,1.3887419737653683,1.356529588918713
74,375,1.3887419737653683,1.356529588918713
75,380,1.3887419737653683,1.356529588918713
76,385,1.3851124215688033,1.356529588918713
77,390,1.3851124215688033,1.356529588918713
78,395,1.3851124215688033,1.356529588918713
79,400,1.3851124215688033,1.356529588918713
