,Iteration,Estimation,Exact
0,5,1.054643442506873,0.1145441559964786
1,10,0.9454520176450316,0.1145441559964786
2,15,0.6903605749904855,0.1145441559964786
3,20,0.4596730196533745,0.1145441559964786
4,25,0.2760661952009289,0.1145441559964786
5,30,0.15975114367055943,0.1145441559964786
6,35,0.12441958866710423,0.1145441559964786
7,40,0.11578986656513868,0.1145441559964786
8,45,0.11688605672164076,0.1145441559964786
9,50,0.11967325030492493,0.1145441559964786
10,55,0.1211132243238866,0.1145441559964786
11,60,0.11864191668786561,0.1145441559964786
12,65,0.11585621185447592,0.1145441559964786
13,70,0.11502133030674555,0.1145441559964786
14,75,0.11514141476417006,0.1145441559964786
15,80,0.11501970237101844,0.1145441559964786
16,85,0.114874278644026,0.1145441559964786
17,90,0.11473060158637693,0.1145441559964786
18,95,0.11467408500591514,0.1145441559964786
19,100,0.11462861683518932,0.1145441559964786
20,105,0.1146163004639138,0.1145441559964786
21,110,0.11460132301019921,0.1145441559964786
22,115,0.11458363259216231,0.1145441559964786
23,120,0.1145671076576722,0.1145441559964786
24,125,0.11455918809929289,0.1145441559964786
25,130,0.1145540316561302,0.1145441559964786
26,135,0.1145500700424229,0.1145441559964786
27,140,0.11454607151430185,0.1145441559964786
28,145,0.11454414639114363,0.1145441559964786
29,150,0.11454303335202809,0.1145441559964786
30,155,0.11454253108730672,0.1145441559964786
31,160,0.1145423423787868,0.1145441559964786
32,165,0.11454231032078566,0.1145441559964786
33,170,0.11454240877608624,0.1145441559964786
34,175,0.11454254012330445,0.1145441559964786
35,180,0.11454268248013122,0.1145441559964786
36,185,0.1145428122615324,0.1145441559964786
37,190,0.11454294334457082,0.1145441559964786
38,195,0.11454306848586349,0.1145441559964786
39,200,0.11454318475174796,0.1145441559964786
40,205,0.11454329195765678,0.1145441559964786
41,210,0.11454339060025998,0.1145441559964786
42,215,0.11454348133063919,0.1145441559964786
43,220,0.11454356352984973,0.1145441559964786
44,225,0.11454363745849583,0.1145441559964786
45,230,0.11454370360781829,0.1145441559964786
46,235,0.11454376252358589,0.1145441559964786
47,240,0.11454381468715802,0.1145441559964786
48,245,0.11454386069924438,0.1145441559964786
49,250,0.11454390112659008,0.1145441559964786
