,Iteration,Tight_Estimation,Tight_Exact,Loose_Estimation,Loose_Exact
0,5,1.606681991003965,0.28214573755910766,3.3918334273053,1.225335553488742
1,10,1.40455850993316,0.28214573755910766,2.9438901245041467,1.225335553488742
2,15,1.2032095967431171,0.28214573755910766,2.6437360059112858,1.225335553488742
3,20,1.1113614137300152,0.28214573755910766,2.3060143866443785,1.225335553488742
4,25,0.9551739390667688,0.28214573755910766,2.0747926965688714,1.225335553488742
5,30,0.7744056545623914,0.28214573755910766,1.9292164056750216,1.225335553488742
6,35,0.6670387931549167,0.28214573755910766,1.8386233842191315,1.225335553488742
7,40,0.5736659349944766,0.28214573755910766,1.7695729759702918,1.225335553488742
8,45,0.4875353953912316,0.28214573755910766,1.7111306990004271,1.225335553488742
9,50,0.4224239692762648,0.28214573755910766,1.6996978946386938,1.225335553488742
10,55,0.4124439117005285,0.28214573755910766,1.5779533603216982,1.225335553488742
11,60,0.3751073628968431,0.28214573755910766,1.5120628062891668,1.225335553488742
12,65,0.3786872701931241,0.28214573755910766,1.4569242426907247,1.225335553488742
13,70,0.3530168480472158,0.28214573755910766,1.4217463492414337,1.225335553488742
14,75,0.3383670059681605,0.28214573755910766,1.4138845941408937,1.225335553488742
15,80,0.3337250778317884,0.28214573755910766,1.4102436418332025,1.225335553488742
16,85,0.3337250778317884,0.28214573755910766,1.3891348702298885,1.225335553488742
17,90,0.33090572045152467,0.28214573755910766,1.3579074503239248,1.225335553488742
18,95,0.3182011549382979,0.28214573755910766,1.3459536109374128,1.225335553488742
19,100,0.31690134375859635,0.28214573755910766,1.33634644718193,1.225335553488742
20,105,0.32070070205920853,0.28214573755910766,1.330241483920355,1.225335553488742
21,110,0.32070070205920853,0.28214573755910766,1.3226481602481486,1.225335553488742
22,115,0.32116061184281897,0.28214573755910766,1.318187898804625,1.225335553488742
23,120,0.32116061184281897,0.28214573755910766,1.318187898804625,1.225335553488742
24,125,0.32116061184281897,0.28214573755910766,1.3113391153700906,1.225335553488742
25,130,0.3197393307075487,0.28214573755910766,1.3021888151698695,1.225335553488742
26,135,0.31794145989725653,0.28214573755910766,1.2872898129416113,1.225335553488742
27,140,0.31567674898211306,0.28214573755910766,1.2814682409419316,1.225335553488742
28,145,0.31806917189726214,0.28214573755910766,1.2774809316682632,1.225335553488742
29,150,0.3169448351496298,0.28214573755910766,1.2749804723670906,1.225335553488742
30,155,0.3169448351496298,0.28214573755910766,1.2749804723670906,1.225335553488742
31,160,0.3169448351496298,0.28214573755910766,1.2749804723670906,1.225335553488742
32,165,0.3169448351496298,0.28214573755910766,1.2749804723670906,1.225335553488742
33,170,0.3169448351496298,0.28214573755910766,1.2725749297347626,1.225335553488742
34,175,0.3169448351496298,0.28214573755910766,1.2679354078627663,1.225335553488742
35,180,0.3169448351496298,0.28214573755910766,1.2629652272212928,1.225335553488742
36,185,0.31705112837717575,0.28214573755910766,1.2629652272212928,1.225335553488742
37,190,0.3130113365007232,0.28214573755910766,1.2629652272212928,1.225335553488742
38,195,0.31485651542142223,0.28214573755910766,1.2629652272212928,1.225335553488742
39,200,0.31485651542142223,0.28214573755910766,1.2600976398067187,1.225335553488742
40,205,0.3133999866775823,0.28214573755910766,1.2549174729464054,1.225335553488742
41,210,0.30426428951012907,0.28214573755910766,1.2549174729464054,1.225335553488742
42,215,0.30062191067469834,0.28214573755910766,1.2549174729464054,1.225335553488742
43,220,0.3003312225629382,0.28214573755910766,1.2549174729464054,1.225335553488742
44,225,0.3003312225629382,0.28214573755910766,1.2549174729464054,1.225335553488742
45,230,0.3003312225629382,0.28214573755910766,1.2549174729464054,1.225335553488742
46,235,0.3003312225629382,0.28214573755910766,1.2539818673154217,1.225335553488742
47,240,0.3003312225629382,0.28214573755910766,1.252927617243298,1.225335553488742
48,245,0.30040663625269026,0.28214573755910766,1.252927617243298,1.225335553488742
49,250,0.30179085554955076,0.28214573755910766,1.252927617243298,1.225335553488742
50,255,0.29703462894479404,0.28214573755910766,1.252927617243298,1.225335553488742
51,260,0.29622236900237553,0.28214573755910766,1.2454036450438748,1.225335553488742
52,265,0.2962597338897366,0.28214573755910766,1.2454036450438748,1.225335553488742
53,270,0.2957851744856228,0.28214573755910766,1.2454036450438748,1.225335553488742
54,275,0.29342145726893065,0.28214573755910766,1.2449962582698326,1.225335553488742
55,280,0.29342145726893065,0.28214573755910766,1.2449962582698326,1.225335553488742
56,285,0.29342145726893065,0.28214573755910766,1.2449962582698326,1.225335553488742
57,290,0.29342145726893065,0.28214573755910766,1.2449962582698326,1.225335553488742
58,295,0.29342145726893065,0.28214573755910766,1.2449962582698326,1.225335553488742
59,300,0.29342145726893065,0.28214573755910766,1.2420121002582656,1.225335553488742
