,Iteration,Estimation,Exact
0,5,1.2414700432485961,6.661338147750939e-15
1,10,1.1297115784112541,6.661338147750939e-15
2,15,1.0089347808385265,6.661338147750939e-15
3,20,0.7866584767414342,6.661338147750939e-15
4,25,0.6661731322615313,6.661338147750939e-15
5,30,0.4947740091953068,6.661338147750939e-15
6,35,0.3476111661145256,6.661338147750939e-15
7,40,0.2557632499926499,6.661338147750939e-15
8,45,0.18309273096772316,6.661338147750939e-15
9,50,0.13472433504368342,6.661338147750939e-15
10,55,0.10343332751916379,6.661338147750939e-15
11,60,0.10343332751916379,6.661338147750939e-15
12,65,0.08168536619008615,6.661338147750939e-15
13,70,0.07406926327233665,6.661338147750939e-15
14,75,0.0601438692453542,6.661338147750939e-15
15,80,0.057343260918927275,6.661338147750939e-15
16,85,0.057343260918927275,6.661338147750939e-15
17,90,0.05454580309945323,6.661338147750939e-15
18,95,0.04663241102616378,6.661338147750939e-15
19,100,0.04362861680585506,6.661338147750939e-15
20,105,0.0382587259536169,6.661338147750939e-15
21,110,0.035432608683471534,6.661338147750939e-15
22,115,0.035432608683471534,6.661338147750939e-15
23,120,0.03375239861024215,6.661338147750939e-15
24,125,0.026582599046584887,6.661338147750939e-15
25,130,0.025462311877988197,6.661338147750939e-15
26,135,0.025462311877988197,6.661338147750939e-15
27,140,0.021606671592446558,6.661338147750939e-15
28,145,0.020611452197853763,6.661338147750939e-15
29,150,0.020611452197853763,6.661338147750939e-15
30,155,0.020611452197853763,6.661338147750939e-15
31,160,0.020611452197853763,6.661338147750939e-15
32,165,0.020611452197853763,6.661338147750939e-15
33,170,0.020611452197853763,6.661338147750939e-15
34,175,0.020611452197853763,6.661338147750939e-15
35,180,0.020347598009745615,6.661338147750939e-15
36,185,0.020347598009745615,6.661338147750939e-15
37,190,0.020347609745384743,6.661338147750939e-15
38,195,0.020347609745384743,6.661338147750939e-15
39,200,0.019713591953592013,6.661338147750939e-15
40,205,0.017923086816122646,6.661338147750939e-15
41,210,0.01630396730040462,6.661338147750939e-15
42,215,0.01630396730040462,6.661338147750939e-15
43,220,0.01619763832155896,6.661338147750939e-15
44,225,0.0134885554641756,6.661338147750939e-15
45,230,0.011900855448200853,6.661338147750939e-15
46,235,0.011509837880583684,6.661338147750939e-15
47,240,0.011416515408630867,6.661338147750939e-15
48,245,0.011416515408630867,6.661338147750939e-15
49,250,0.011416515408630867,6.661338147750939e-15
50,255,0.011416515408630867,6.661338147750939e-15
51,260,0.011416515408630867,6.661338147750939e-15
52,265,0.011416515408630867,6.661338147750939e-15
53,270,0.011416515408630867,6.661338147750939e-15
54,275,0.011416515408630867,6.661338147750939e-15
55,280,0.011416515408630867,6.661338147750939e-15
56,285,0.011416515408630867,6.661338147750939e-15
57,290,0.011416515408630867,6.661338147750939e-15
58,295,0.011416515408630867,6.661338147750939e-15
59,300,0.011416515408630867,6.661338147750939e-15
60,305,0.011416515408630867,6.661338147750939e-15
61,310,0.011416515408630867,6.661338147750939e-15
62,315,0.011416515408630867,6.661338147750939e-15
63,320,0.011416515408630867,6.661338147750939e-15
64,325,0.011416515408630867,6.661338147750939e-15
65,330,0.011416515408630867,6.661338147750939e-15
66,335,0.011416515408630867,6.661338147750939e-15
67,340,0.011416515408630867,6.661338147750939e-15
68,345,0.011416515408630867,6.661338147750939e-15
69,350,0.009834891181043193,6.661338147750939e-15
70,355,0.009834891181043193,6.661338147750939e-15
71,360,0.009834891181043193,6.661338147750939e-15
72,365,0.009834891181043193,6.661338147750939e-15
73,370,0.009834891181043193,6.661338147750939e-15
74,375,0.009834891181043193,6.661338147750939e-15
75,380,0.009834891181043193,6.661338147750939e-15
76,385,0.009834891181043193,6.661338147750939e-15
77,390,0.009834891181043193,6.661338147750939e-15
78,395,0.009834891181043193,6.661338147750939e-15
79,400,0.009834891181043193,6.661338147750939e-15
80,405,0.009834891181043193,6.661338147750939e-15
81,410,0.009834891181043193,6.661338147750939e-15
82,415,0.009834891181043193,6.661338147750939e-15
83,420,0.009834891181043193,6.661338147750939e-15
84,425,0.009834891181043193,6.661338147750939e-15
85,430,0.009416065018720832,6.661338147750939e-15
86,435,0.007687458077325959,6.661338147750939e-15
87,440,0.007687458077325959,6.661338147750939e-15
88,445,0.00670869815009556,6.661338147750939e-15
89,450,0.006379019418934706,6.661338147750939e-15
90,455,0.006361076771923879,6.661338147750939e-15
91,460,0.006361076771923879,6.661338147750939e-15
92,465,0.006361076771923879,6.661338147750939e-15
93,470,0.006361076771923879,6.661338147750939e-15
94,475,0.006361076771923879,6.661338147750939e-15
95,480,0.006361076771923879,6.661338147750939e-15
96,485,0.006361076771923879,6.661338147750939e-15
97,490,0.006361076771923879,6.661338147750939e-15
98,495,0.006361076771923879,6.661338147750939e-15
99,500,0.006361076771923879,6.661338147750939e-15
